spec,conf0.0_tp,conf0.0_fp,conf0.0_pre,conf0.05_tp,conf0.05_fp,conf0.05_pre,conf0.11_tp,conf0.11_fp,conf0.11_pre,conf0.16_tp,conf0.16_fp,conf0.16_pre,conf0.21_tp,conf0.21_fp,conf0.21_pre,conf0.26_tp,conf0.26_fp,conf0.26_pre,conf0.32_tp,conf0.32_fp,conf0.32_pre,conf0.37_tp,conf0.37_fp,conf0.37_pre,conf0.42_tp,conf0.42_fp,conf0.42_pre,conf0.47_tp,conf0.47_fp,conf0.47_pre,conf0.53_tp,conf0.53_fp,conf0.53_pre,conf0.58_tp,conf0.58_fp,conf0.58_pre,conf0.63_tp,conf0.63_fp,conf0.63_pre,conf0.68_tp,conf0.68_fp,conf0.68_pre,conf0.74_tp,conf0.74_fp,conf0.74_pre,conf0.79_tp,conf0.79_fp,conf0.79_pre,conf0.84_tp,conf0.84_fp,conf0.84_pre,conf0.89_tp,conf0.89_fp,conf0.89_pre,conf0.95_tp,conf0.95_fp,conf0.95_pre,conf1.0_tp,conf1.0_fp,conf1.0_pre
GWFG,0.26786,0.00855,0.9375,0.26786,0.00855,0.9375,0.26786,0.00855,0.9375,0.22321,0.00427,0.96154,0.1875,0.00427,0.95455,0.16964,0.00427,0.95,0.16071,0.00427,0.94737,0.14286,0.00427,0.94118,0.125,0.00427,0.93333,0.11607,0.00427,0.92857,0.11607,0.00427,0.92857,0.11607,0.00427,0.92857,0.10714,0.00427,0.92308,0.10714,0.00427,0.92308,0.10714,0.0,1.0,0.10714,0.0,1.0,0.08929,0.0,1.0,0.07143,0.0,1.0,0.03571,0.0,1.0,0.0,0.0,
ARTE,0.16667,0.00294,0.5,0.16667,0.00294,0.5,0.16667,0.00294,0.5,0.16667,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
LTDU,0.14286,0.00295,0.5,0.14286,0.00295,0.5,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
EUWH,,0.02023,0.0,,0.02023,0.0,,0.01734,0.0,,0.01156,0.0,,0.00867,0.0,,0.00578,0.0,,0.00289,0.0,,0.00289,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
VATH,,0.00289,0.0,,0.00289,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
SAPH,,0.00289,0.0,,0.00289,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
PEFA,,0.00289,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
SNGO,,0.00867,0.0,,0.00867,0.0,,0.00578,0.0,,0.00578,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
STSA,0.16667,0.0,1.0,0.16667,0.0,1.0,0.16667,0.0,1.0,0.08333,0.0,1.0,0.08333,0.0,1.0,0.08333,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
CACK,0.11111,0.00593,0.33333,0.11111,0.00593,0.33333,0.11111,0.00593,0.33333,0.0,0.00593,0.0,0.0,0.00593,0.0,0.0,0.00593,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.00297,0.0,0.0,0.0,,0.0,0.0,
WISN,0.33333,0.0,1.0,0.33333,0.0,1.0,0.33333,0.0,1.0,0.33333,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
