filename,start,stop,manSp,netSp,conf
20220621_180000.wav,0,300,"['nan', 'GWFG'] , ['LALO', 'nan', 'GWFG'] , ['LALO', 'nan'] , ['nan', 'LALO', 'DUNL', 'GWFG'] , ['LALO', 'DUNL', 'nan'] , ['PALO', 'LALO', 'nan', 'GWFG'] , ['nan', 'DUNL', 'GWFG'] , ['DUNL', 'nan'] , ['motor', 'LALO', 'nan'] , ['motor', 'LALO', 'nan', 'GWFG'] , ['motor', 'nan', 'GWFG']",nan,nan
AR93_20230623_100000.wav,0,300,"['BBPL', 'nan']",nan,nan
AR70_20230712_050000.wav,0,300,"['na', 'nan']",nan,nan
AL33_20230616_140000.wav,0,300,"['lalo', 'nan']",nan,nan
EC28_20230614_083000.wav,0,300,"['STSA', 'nan'] , ['WIPT', 'nan'] , ['BBPL', 'nan'] , ['BBPL', 'STSA', 'nan']",nan,nan
AR93_20230625_233000.wav,0,300,"['SESA', 'nan']",nan,nan
AR70_20230801_140000.wav,0,300,"['na', 'nan']",nan,nan
EC41_20230619_133000.wav,0,300,"['WIPT', 'nan'] , ['LALO', 'nan']",nan,nan
AL33_20230712_043000.wav,0,300,"['lalo', 'nan']",nan,nan
AL33_20230613_113000.wav,0,300,"['unknown', 'nan'] , ['WCSP', 'nan'] , ['wipt', 'WCSP', 'nan']",nan,nan
AL46_20230613_153000.wav,0,300,"['LALO', 'nan'] , ['DUNL', 'nan']",nan,nan
AL33_20230712_180000.wav,0,300,"['sesa', 'palo', 'nan'] , ['palo', 'nan'] , ['sesa', 'nan'] , ['unknown', 'nan']",nan,nan
AR91_20230614_190000.wav,0,300,"['PESA', 'nan'] , ['LALO', 'nan']",nan,nan
AL33_20230714_030000.wav,0,300,"['sesa', 'nan'] , ['unknown', 'nan'] , ['sesa', 'unknown', 'nan'] , ['bbpl', 'nan'] , ['sesa', 'bbpl', 'nan']",SESA,0.9716
20220617_110000.wav,0,300,"['PESA', 'phalarope', 'nan'] , ['PESA', 'nan'] , ['phalarope', 'nan'] , ['phalarope', 'DUNL', 'nan'] , ['DUNL', 'nan'] , ['nan', 'DUNL', 'AMGP'] , ['nan', 'AMGP'] , ['nan', 'GWFG'] , ['PESA', 'nan', 'GWFG'] , ['LALO', 'DUNL', 'nan'] , ['LALO', 'nan'] , ['PESA', 'DUNL', 'nan'] , ['phalarope', 'LALO', 'nan']",nan,nan
AL33_20230606_050000.wav,0,300,"['bbpl', 'nan'] , ['lalo', 'nan'] , ['wipt', 'nan'] , ['lalo', 'wipt', 'nan']",nan,nan
AR91_20230614_163000.wav,0,300,"['PESA', 'nan'] , ['LBDO', 'nan'] , ['LBDO', 'Insect', 'nan'] , ['LBDO', 'nan', 'GWFG'] , ['PALO', 'LBDO', 'nan'] , ['PALO', 'nan'] , ['PESA', 'LALO', 'nan'] , ['PESA', 'PALO', 'LBDO', 'nan'] , ['PESA', 'PALO', 'nan'] , ['LALO', 'nan']",nan,nan
AL33_20230622_220000.wav,0,300,"['lalo', 'nan'] , ['unknown', 'nan']",nan,nan
AR87_20230614_053000.wav,0,300,"['LBDO', 'nan'] , ['LALO', 'nan'] , ['unkMF', 'nan'] , ['nan', 'GWFG'] , ['LALO', 'DUNL', 'nan'] , ['DUNL', 'nan'] , ['nan', 'DUNL', 'GWFG']",GWFG,0.6016
AL41_20230606_150000.wav,0,300,"['LALO', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['nan', 'LALO', 'DUNL', 'GWFG'] , ['LALO', 'nan', 'GWFG'] , ['PESA', 'LALO', 'nan'] , ['PESA', 'nan'] , ['DUNL', 'nan']",nan,nan
AR40_20220612_130000.wav,0,300,"['LALO', 'nan'] , ['SESA', 'nan'] , ['redpoll  ', 'nan']",nan,nan
AR93_20230718_163000.wav,0,300,"['LBDO', 'nan']",nan,nan
AR49_20220616_200000.wav,0,300,"['nan', 'GWFG'] , ['SESA', 'nan', 'GWFG'] , ['LALO', 'nan'] , ['unkMF', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['phalarope', 'nan'] , ['SESA', 'LALO', 'nan'] , ['SESA', 'nan'] , ['LALO', 'unkMF', 'nan']","GWFG , BARG , SESA , phalarope","0.9099,0.4277,0.3407,0.6678"
AR108_20220623_183000.wav,0,300,"['LALO', 'nan'] , ['PESA', 'nan']",nan,nan
B81_20230611_130000.wav,0,300,"['LALO', 'nan'] , ['WIPT', 'nan'] , ['LBDO', 'nan'] , ['SAVS', 'nan']",nan,nan
AL73_20230613_173000.wav,0,300,"['LALO', 'nan'] , ['LALO', 'DUNL', 'nan']",nan,nan
AR106_20220624_123000.wav,0,300,"['LALO', 'nan'] , ['BBPL', 'nan']",nan,nan
AR87_20230615_050000.wav,0,300,"['unkMF', 'nan'] , ['nan', 'GWFG'] , ['LALO', 'nan', 'GWFG'] , ['LALO', 'nan'] , ['PAJA', 'nan'] , ['PAJA', 'unkMF', 'nan'] , ['PAJA', 'nan', 'GWFG'] , ['PESA', 'nan']",nan,nan
